Milliseconds,Latitude,Longitude,Altitude,Pitch,Bank,GyroHeading,TrueHeading,MagneticHeading,VelocityBodyX,VelocityBodyY,VelocityBodyZ,AileronPosition,ElevatorPosition,RudderPosition,ElevatorTrimPosition,AileronTrimPercent,RudderTrimPercent,FlapsHandleIndex,TrailingEdgeFlapsLeftPercent,TrailingEdgeFlapsRightPercent,LeadingEdgeFlapsLeftPercent,LeadingEdgeFlapsRightPercent,ThrottleLeverPosition1,ThrottleLeverPosition2,ThrottleLeverPosition3,ThrottleLeverPosition4,PropellerLeverPosition1,PropellerLeverPosition2,PropellerLeverPosition3,PropellerLeverPosition4,SpoilerHandlePosition,GearHandlePosition,WaterRudderHandlePosition,BrakeLeftPosition,BrakeRightPosition,BrakeParkingPosition,LightTaxi,LightLanding,LightStrobe,LightBeacon,LightNav,LightWing,LightLogo,LightRecognition,LightCabin,SimulationRate,AbsoluteTime,AltitudeAboveGround,IsOnGround,WindVelocity,WindDirection,GForce,TouchdownNormalVelocity,WingFlexPercent1,WingFlexPercent2,WingFlexPercent3,WingFlexPercent4,TrueAirspeed,IndicatedAirspeed,MachAirspeed,GpsGroundSpeed,GroundSpeed,HeadingIndicator,AIPitch,AIBank,EngineManifoldPressure1,EngineManifoldPressure2,EngineManifoldPressure3,EngineManifoldPressure4,TurnCoordinatorBall,HsiCDI,StallWarning,RotationVelocityBodyX,RotationVelocityBodyY,RotationVelocityBodyZ,AccelerationBodyX,AccelerationBodyY,AccelerationBodyZ
707840821,47.04311284995223,8.28233182797552,4651.419129376015,-0.19836783666192456,4.632502492670317,134.964112673463,137.49279321815627,134.54165929620368,-2.428760191193975,5.796493535540745,180.79990350648416,0.00274658203125,-0.0562744140625,0,-0.0011841136729344726,0,0,0,0,0,0,0,0.77593994140625,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855511602.442726,2563.1213330717483,0,3.8496589447252085,264.6983642578125,1.0961412277356115,5.642955154180516,0.6674670577049255,0.7123926877975464,0.2739419937133789,0.3712599575519562,105.59913635253906,95.01504516601562,0.16112300753593445,107.16932473893273,107.11553928533152,134.964112673463,-0.19836783666192456,4.632502492670317,9.37439935101368,0,0,0,-17,-0,0,0.1814133046094735,-0.024628103201055455,-0.028629529910863507,-2.803717821839172,-10.732169767379302,0.08781149881564881
707840895,47.043084120208164,8.282371678170222,4651.903688030041,0.6139910360256242,4.4976970007485795,134.9188497025078,137.4471980389019,134.49606411694933,-2.316934771419252,7.351250949334805,180.735210858972,0.00274658203125,-0.0562744140625,0,-0.0011841136729344726,0,0,0,0,0,0,0,0.77593994140625,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855511602.55384,2563.605891725774,0,4.224930817293029,265.1029357910156,0.9984478777422086,5.642955154180516,0.5474182367324829,0.5834667682647705,0.1590016633272171,0.23460936546325684,105.54515075683594,94.96650695800781,0.16104498505592346,107.16932473893273,107.1301184584532,134.9188497025078,0.6139910360256242,4.4976970007485795,9.37426944248458,0,0,0,-13,-0,0,0.1700754875567072,-0.023419215767788895,-0.03193305195296749,-2.715714336199844,-13.487817277143893,0.5125029889363497
707840976,47.04305456584503,8.282412731747081,4652.310012340985,1.3820995758653871,4.320665978639155,134.873349532448,137.40111279548722,134.44997887353466,-2.2313538452298105,8.574081651418977,180.6933966837819,0.00274658203125,-0.0562744140625,0,-0.0011841136729344726,0,0,0,0,0,0,0,0.77593994140625,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855511602.6094,2564.012216036718,0,4.8359853934829635,266.8305358886719,0.9057387496430962,5.642955154180516,0.4320123791694641,0.4663619101047516,0.044258467853069305,0.11461354047060013,105.36856842041016,94.89376831054688,0.16078391671180725,107.1155424509396,107.15612034101561,134.873349532448,1.3820995758653871,4.320665978639155,9.374154484351953,0,0,0,-10,-0,0,0.15339954939336353,-0.021089147033120495,-0.04387238047533526,-2.648270401755769,-14.454388521798839,0.9534781527211456
707841066,47.04302846799483,8.282449031813416,4652.584186680653,1.9918237446934604,4.119191557891607,134.83741274285205,137.3643247259029,134.4131908039503,-2.1995448471746744,9.418550304732664,180.68399638485138,0.00274658203125,-0.053466796875,0,-0.0011841136729344726,0,0,0,0,0,0,0,0.77593994140625,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855511602.664955,2564.2863903763864,0,5.43999142080351,268.3794860839844,0.838445699924724,5.642955154180516,0.34526440501213074,0.3821044862270355,-0.044171396642923355,0.029445460066199303,105.20360565185547,94.78756713867188,0.16053229570388794,107.1155424509396,107.18871240591517,134.83741274285205,1.9918237446934604,4.119191557891607,9.37408264744237,0,0,0,-7,-0,0,0.13852766917848405,-0.01802275374107173,-0.05104720787402876,-2.6486331093432347,-14.31277044842988,1.322331032613558
707841142,47.04299934367263,8.282489599113257,4652.793748121009,2.584108489193667,3.899796794763887,134.805362562117,137.33134160597285,134.3802076840203,-2.2210927951791226,10.040075132561885,180.70689239717203,0.00274658203125,-0.02069091796875,0,-0.0011841136729344726,0,0,0,0,0,0,0,0.77593994140625,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855511602.77607,2564.4959518167425,0,5.717172377320641,267.01080322265625,0.77532002836771,5.642955154180516,0.2741331160068512,0.30678433179855347,-0.11252523213624954,-0.05371388792991638,105.22747039794922,94.67640686035156,0.16057220101356506,107.1155424509396,107.23307551360705,134.805362562117,2.584108489193667,3.899796794763887,9.374056749475953,0,0,0,-2,-0,0,0.11363569910078837,-0.0139907229818757,-0.038819904285391664,-2.6817266949714402,-15.096146192800449,1.632866682866765
707841220,47.04296708783295,8.282534588621681,4652.889722974268,3.0881601352423225,3.627972385290758,134.78003110658068,137.30496196951884,134.35382804756628,-2.29983270091756,9.971384177457942,180.7786671979852,0.00274658203125,-0.01019287109375,0,-0.0011841136729344726,0,0,0,0,0,0,0,0.77593994140625,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855511602.887184,2564.591926670001,0,5.632619737826966,263.6381530761719,0.6991313827863659,5.642955154180516,0.2089352011680603,0.24004101753234863,-0.17876482009887695,-0.12684041261672974,105.42364501953125,94.66712188720703,0.1608792394399643,107.18871543010908,107.27983024014918,134.78003110658068,3.0881601352423225,3.627972385290758,9.374067031677583,0,0,0,0,-0,0,0.0803104601513008,-0.009077221846748541,-0.06331747945547239,-2.4150367201259475,-16.79761035213053,1.8865797001427356
707841296,47.04293977235567,8.282572735056242,4652.855241795235,3.3834851319044073,3.3682061628330007,134.7697552993502,137.2934493295462,134.34231540759365,-2.44159036192803,9.648903495581635,180.87962749175347,0.00274658203125,-0.0113525390625,0,-0.0011841136729344726,0,0,0,0,0,0,0,0.77593994140625,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855511602.94274,2564.5574454909683,0,5.703875936421655,260.15631103515625,0.658796890038701,5.642955154180516,0.1709601730108261,0.2046647071838379,-0.2194666564464569,-0.16773271560668945,105.59123992919922,94.715087890625,0.16113479435443878,107.18871543010908,107.32842834902826,134.7697552993502,3.3834851319044073,3.3682061628330007,9.37408861309241,0,0,0,4,-0,0,0.05717801807235042,-0.004372241158526198,-0.04938722986413273,-2.5067127630203325,-14.221676924332305,2.0470477071605693
707841376,47.04291142120637,8.282612390753656,4652.724139673541,3.6093763582002514,3.2209167759293917,134.77668523957865,137.29890725581652,134.34777333386396,-2.63961518465914,9.29227515097082,181.0107761841929,0.00274658203125,-0.0086669921875,0,-0.0011841136729344726,0,0,0,0,0,0,0,0.77593994140625,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855511602.9983,2564.426343369274,0,5.841640896230729,259.628173828125,0.6425686190310195,5.642955154180516,0.17758765816688538,0.18480682373046875,-0.2038821429014206,-0.2094985544681549,105.70057678222656,94.80480194091797,0.16129671037197113,107.18871543010908,107.39061515192351,134.77668523957865,3.6093763582002514,3.2209167759293917,9.374119360430702,0,0,0,8,-0,0,0.044177198261473774,0.001019267427479275,-0.018227781770834305,-2.3782817600640884,-12.1370602929795,2.2068247342787615
707841466,47.04288421063368,8.282650514193874,4652.523813031884,3.789843941134999,3.1869824418698998,134.8032452959873,137.32396353267504,134.37282961072245,-2.870761867967856,9.007303990498103,181.1525401908293,0.00274658203125,-0.0079345703125,0,-0.0011841136729344726,0,0,0,0,0,0,0,0.77593994140625,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855511603.10941,2564.226016727617,0,5.898252476636571,259.5242614746094,0.642646562593572,5.642955154180516,0.2273062765598297,0.19246940314769745,-0.13764435052871704,-0.23029233515262604,105.80570220947266,94.89834594726562,0.16145916283130646,107.32842480389628,107.46050990256181,134.8032452959873,3.789843941134999,3.1869824418698998,9.374157729011925,0,0,0,10,-0,0,0.04097923186667523,0.005642029966291827,0.00020763448473488157,-2.2307786195318924,-10.512486792020681,2.3235388750542962
707841544,47.042855621706394,8.282690630662502,4652.246861191277,3.980873331504042,3.2137280682133573,134.84886528464577,137.36850055164143,134.41736662968887,-3.1474589059462854,8.851291810131006,181.31010588412875,0.00274658203125,-0.0079345703125,0,-0.0018073314264837818,0,0,0,0,0,0,0,0.77593994140625,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63855511603.16497,2563.9490648870105,0,6.015319581330451,259.3561096191406,0.6529147220514286,5.642955154180516,0.29893040657043457,0.234731063246727,-0.05328582227230072,-0.2119850218296051,105.92649841308594,95.00526428222656,0.1616409420967102,107.32842480389628,107.54297882028439,134.84886528464577,3.980873331504042,3.2137280682133573,9.374202830844206,0,0,0,11,-0,0,0.04433912675585787,0.008835859543377702,0.008791343340798789,-2.0852822172229093,-9.040586353888699,2.4464218956633466
