Milliseconds,Latitude,Longitude,Altitude,Pitch,Bank,GyroHeading,TrueHeading,MagneticHeading,VelocityBodyX,VelocityBodyY,VelocityBodyZ,AileronPosition,ElevatorPosition,RudderPosition,ElevatorTrimPosition,AileronTrimPercent,RudderTrimPercent,FlapsHandleIndex,TrailingEdgeFlapsLeftPercent,TrailingEdgeFlapsRightPercent,LeadingEdgeFlapsLeftPercent,LeadingEdgeFlapsRightPercent,ThrottleLeverPosition1,ThrottleLeverPosition2,ThrottleLeverPosition3,ThrottleLeverPosition4,PropellerLeverPosition1,PropellerLeverPosition2,PropellerLeverPosition3,PropellerLeverPosition4,SpoilerHandlePosition,GearHandlePosition,WaterRudderHandlePosition,BrakeLeftPosition,BrakeRightPosition,BrakeParkingPosition,LightTaxi,LightLanding,LightStrobe,LightBeacon,LightNav,LightWing,LightLogo,LightRecognition,LightCabin,SimulationRate,AbsoluteTime,AltitudeAboveGround,IsOnGround,WindVelocity,WindDirection,GForce,TouchdownNormalVelocity,WingFlexPercent1,WingFlexPercent2,WingFlexPercent3,WingFlexPercent4,TrueAirspeed,IndicatedAirspeed,MachAirspeed,GpsGroundSpeed,GroundSpeed,HeadingIndicator,AIPitch,AIBank,EngineManifoldPressure1,EngineManifoldPressure2,EngineManifoldPressure3,EngineManifoldPressure4,TurnCoordinatorBall,HsiCDI,StallWarning,RotationVelocityBodyX,RotationVelocityBodyY,RotationVelocityBodyZ,AccelerationBodyX,AccelerationBodyY,AccelerationBodyZ
1244010793,47.21617656303168,7.608532031866791,4426.47164836364,5.372973760246317,0.8820798273097962,268.831841013531,271.06295759044144,268.27146162453477,1.0519053851631504,4.840864962468934,218.6169023442055,0,0.05102539248764515,0,-0.018583470955491066,0,0,0,0,0,0,0,0.439453125,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856047749.34436,3016.686737684508,0,3.68177894757066,185.82632446289062,1.2148561606383361,381.90939903259203,0.8459646701812744,0.8456361293792725,0.31313255429267883,0.37838661670684814,129.73814392089844,121.26211547851562,0.19827231764793396,0,129.23359686387602,268.831841013531,5.372973760246317,0.8820798273097962,5.384121574427326,0,0,0,-21,-0,0,0.05296648664957429,-0.020166977342714974,-0.02015354081093367,-0.05561279475281157,1.3255340491800098,-1.3627416008507913
1244010874,47.21617770169474,7.6084601773153455,4425.20394047754,5.626040170682385,0.7681697060720185,268.72799203637203,270.9605045376121,268.16900857170543,1.4394194810452818,5.731636248112092,218.4807598214956,0,0.05102539248764515,0,-0.018583470955491066,0,0,0,0,0,0,0,0.439453125,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856047749.455475,3015.4190297984073,0,3.5626178172957994,178.12933349609375,1.1645664788059116,381.90939903259203,0.7792907357215881,0.7871243357658386,0.24983324110507965,0.32278701663017273,129.97427368164062,121.14817810058594,0.19863027334213257,0,129.164276235866,268.72799203637203,5.626040170682385,0.7681697060720185,5.384428378602756,0,0,0,-20,-0,0,0.051628060172993644,-0.024542055140835045,-0.02344447478710512,-0.18723648138511503,-3.645438032363378,-1.3576878727376238
1244010941,47.21617876742129,7.608392907792477,4423.993958110932,5.82696428032245,0.660368954846352,268.62001115239485,270.85265247558385,268.0611565096772,1.8175038902362277,5.9713320241374195,218.35280093755352,0,0.05102539248764515,0,-0.018583470955491066,0,0,0,0,0,0,0,0.439453125,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856047749.51103,3014.2090474317997,0,3.436695741772901,189.18142700195312,1.0919798448163618,381.90939903259203,0.6936029195785522,0.7021235227584839,0.17080581188201904,0.23339946568012238,130.4650421142578,121.18807983398438,0.19938446581363678,0,129.0706908617909,268.62001115239485,5.82696428032245,0.660368954846352,5.38474819100976,0,0,0,-18,-0,0,0.036775759702456376,-0.024449276471368343,-0.02035421794930998,-0.6047569454941922,-9.279988176678323,-1.3864487517358781
1244011026,47.21617982231617,7.608325979358252,4422.746413683012,5.963426375715946,0.5612274027582954,268.5151905831432,270.74775095261055,267.95625498670387,2.18200334533846,5.975259792945474,218.23897826919975,0,0.05102539248764515,0,-0.018583470955491066,0,0,0,0,0,0,0,0.439453125,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856047749.56658,3012.96150300388,0,2.7230011399930225,224.3723602294922,1.0320394180957972,381.90939903259203,0.6074885725975037,0.6132091879844666,0.09163796901702881,0.13724282383918762,130.29725646972656,121.18296813964844,0.19912707805633545,129.23359551645993,128.98141783961722,268.5151905831432,5.963426375715946,0.5612274027582954,5.385055951470911,0,0,0,-15,-0,0,0.0249517155250659,-0.023711837583979427,-0.01811425406182072,-0.5670641474684792,-8.714331722068394,-1.2844343717515172
1244011106,47.216180908745216,7.608256303973677,4421.394717844743,6.033179807332594,0.4919870352556375,268.42432921250855,270.65482172792457,267.8633257620179,2.461451162215294,5.55755246985905,218.12837526980604,0,0.05102539248764515,0,-0.018583470955491066,0,0,0,0,0,0,0,0.439453125,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856047749.6777,3011.609807165611,0,2.817821906812756,216.10482788085938,0.9709965043363293,381.90939903259203,0.5289045572280884,0.5275830626487732,0.02242267318069935,0.04058096557855606,130.45611572265625,121.31636047363281,0.19936776161193848,129.23359551645993,128.8776459839089,268.42432921250855,6.033179807332594,0.4919870352556375,5.3853499979804464,0,0,0,-11,-0,0,0.0044617424038518325,-0.015846378208250994,-0.008975818860459613,-0.8458296532726035,-7.439310442321143,-1.241059632038967
1244011191,47.21618204221614,7.608182264901285,4419.902165835702,6.017456281384687,0.45461975500193513,268.3744940354856,270.602250075763,267.8107541098563,2.582229569940512,4.94210145066918,218.02252052409935,0,0.05102539248764515,0,-0.018583470955491066,0,0,0,0,0,0,0,0.439453125,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856047749.733246,3010.11725515657,0,2.9064436572674217,221.45181274414062,0.9326354209773378,381.90939903259203,0.47285735607147217,0.4635699689388275,-0.023979034274816513,-0.034930553287267685,131.06893920898438,121.51268005371094,0.20030412077903748,129.23359551645993,128.77919864545967,268.3744940354856,6.017456281384687,0.45461975500193513,5.38561936007774,0,0,0,-7,-0,0,-0.008506474401846542,-0.006270576805980357,-0.004392045505839997,-0.7054158587951671,-6.049880120291138,-1.2958746317028071
1244011254,47.21618298553821,7.608119568967394,4418.602298912058,5.9721075361699825,0.44344545708393296,268.3668739180921,270.5922930932363,267.80079712732964,2.5513569788850425,4.351036244856769,217.93020351978106,0,0.05102539248764515,0,-0.018583470955491066,0,0,0,0,0,0,0,0.439453125,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856047749.84436,3008.6446760625563,0,3.029914039051551,240.25503540039062,0.9103064174376289,381.90939903259203,0.44953057169914246,0.4354769289493561,-0.040870439261198044,-0.07301584631204605,131.51535034179688,121.86571502685547,0.2009861171245575,128.98142013384992,128.69593675035335,268.3668739180921,5.9721075361699825,0.44344545708393296,5.385783121594523,0,0,0,-3,-0,0,-0.013591370037707133,0.002115738008677234,-0.0011623298822585088,-0.8486205545350343,-4.909355685116342,-1.3503095028601715
1244011330,47.21618396619731,7.608053330081498,4417.2048361441575,5.924032200580191,0.42914500980370524,268.39314069189766,270.616529456143,267.8250334902363,2.402822433530773,3.9507105932675564,217.83692046196205,0,0.05102539248764515,0,-0.018583470955491066,0,0,0,0,0,0,0,0.439453125,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856047749.89992,3007.2472132946555,0,3.1902719866791682,250.22897338867188,0.9078646383718979,381.90939903259203,0.455975204706192,0.442474901676178,-0.031994931399822235,-0.07368292659521103,131.45567321777344,122.0376205444336,0.20089145004749298,128.98142013384992,128.62493543290125,268.39314069189766,5.924032200580191,0.42914500980370524,5.385888961589459,0,0,0,-1,-0,0,-0.008277248149994457,0.009009750610116884,-0.006869113655976852,-0.6122730149116886,-2.683767073026155,-1.3280771616545195
1244011421,47.21618496564127,7.6079847760557415,4415.74501499803,5.892901129532164,0.4103467735290956,268.45494219787844,270.6761573181903,267.8846613522836,2.1134677833842286,3.702436088149511,217.73799225754942,0,0.05102539248764515,0,-0.018583470955491066,0,0,0,0,0,0,0,0.439453125,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856047749.955475,3005.7873921485275,0,3.2528212540298944,246.69110107421875,0.9139754075239137,381.90939903259203,0.496965229511261,0.4887482821941376,0.006908365525305271,-0.03113429807126522,131.427734375,122.26119995117188,0.20084668695926666,128.98142013384992,128.55600339440826,268.45494219787844,5.892901129532164,0.4103467735290956,5.385954393798324,0,0,0,0,-0,0,-0.004943146018820506,0.01716250849566221,-0.004984661900095229,-0.518855440640457,-0.7040883044637704,-1.305800792323861
1244011513,47.216186042841805,7.607909836229024,4414.145301691674,5.8883382296348294,0.3939242338742538,268.55067368157404,270.771046425889,267.9795504599823,1.7186207795611836,3.684809933792339,217.62562477556475,0,0.05102539248764515,0,-0.018583470955491066,0,0,0,0,0,0,0,0.439453125,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,63856047750.06658,3004.187678842172,0,3.419677687412196,243.26544189453125,0.9303574966753271,381.90939903259203,0.568345844745636,0.5641088485717773,0.07376275956630707,0.04444544389843941,132.38870239257812,122.59225463867188,0.20231518149375916,128.69593577045055,128.48830536826395,268.55067368157404,5.8883382296348294,0.3939242338742538,5.385971968412946,0,0,0,0,-0,0,0.0037689692427385537,0.02030302581689056,-0.006057590343143778,-0.24284837054392983,0.0908189855035955,-1.4089373678741597
